"","WBGeneID","Sequence.name","Public_name","hashimshony_embryo_bool","pauli_L4_bool","spencer_LE_bool","spencer_L2_bool","tintori_1E_bool","tintori_2Ep_bool","tintori_EMS_bool","onish_adult_bool","haenni_FANS_bool","blazie_mixed_bool","ELT2_peak_k1_bool","ELT2_peak_k2_bool","ELT2_peak_k3_bool","ELT2_peak_k4_bool","ELT2_peak_k_na_bool"
"702","WBGene00015902","C17E7.7","nhr-159",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"703","WBGene00015934","C17H12.9","ceh-48",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"704","WBGene00015981","C18G1.2","elt-7",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"705","WBGene00016029","C24A1.2","elf-1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"706","WBGene00016091","C25E10.1","nhr-30",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"707","WBGene00016126","C26B2.4","nhr-258",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"708","WBGene00016138","C26E6.2","flh-2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"709","WBGene00016154","C27A12.2","C27A12.2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"710","WBGene00016162","C27D6.4","crh-2",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"711","WBGene00016189","C28G1.4","C28G1.4",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"712","WBGene00016200","C28H8.9","dpff-1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"713","WBGene00016233","C29G2.5","srt-58",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
